Date,Close,Open,Low,High
6/15/2018 16:00:00,1715.97,1714,1708.52,1720.87
6/18/2018 16:00:00,1723.79,1706.26,1702.56,1726.74
6/19/2018 16:00:00,1734.78,1709.04,1700.39,1736.11
6/20/2018 16:00:00,1750.08,1742.5,1741.36,1762.93
6/21/2018 16:00:00,1730.22,1760,1717.56,1763.1
6/22/2018 16:00:00,1715.67,1742.62,1711.9,1743
6/25/2018 16:00:00,1663.15,1702.51,1646.31,1705
6/26/2018 16:00:00,1691.09,1672.37,1663.34,1701.57
6/27/2018 16:00:00,1660.51,1708.11,1660,1711.95
6/28/2018 16:00:00,1701.45,1672.54,1661.17,1705.5
6/29/2018 16:00:00,1699.8,1717,1694.32,1723.41
7/2/2018 16:00:00,1713.78,1682.7,1678.06,1713.89
7/3/2018 13:00:00,1693.96,1723.96,1692.48,1725
7/5/2018 16:00:00,1699.73,1705.38,1682.15,1710.69
7/6/2018 16:00:00,1710.63,1696,1691.67,1715.27
7/9/2018 16:00:00,1739.02,1724.05,1716.23,1739.56
7/10/2018 16:00:00,1743.07,1738.53,1731,1750
7/11/2018 16:00:00,1755,1737.99,1734,1756.96
7/12/2018 16:00:00,1796.62,1764.51,1762.18,1798
7/13/2018 16:00:00,1813.03,1803.93,1795.23,1815.3
7/16/2018 16:00:00,1822.49,1821.95,1814.45,1841.95
7/17/2018 16:00:00,1843.93,1811.56,1797.38,1851.69
7/18/2018 16:00:00,1842.92,1848,1831.27,1858.88
7/19/2018 16:00:00,1812.97,1829.46,1811.27,1841
7/20/2018 16:00:00,1813.7,1825.01,1810.06,1834.84
7/23/2018 16:00:00,1802,1812.21,1769.99,1819
7/24/2018 16:00:00,1829.24,1829.01,1809.38,1840
7/25/2018 16:00:00,1863.61,1829.3,1822.64,1863.84
7/26/2018 16:00:00,1808,1839,1804.5,1844.68
7/27/2018 16:00:00,1817.27,1876.05,1806.53,1880.05
7/30/2018 16:00:00,1779.22,1827.33,1766.02,1829.5
7/31/2018 16:00:00,1777.44,1786.49,1739.32,1801.83
8/1/2018 16:00:00,1797.17,1784,1776.02,1798.44
8/2/2018 16:00:00,1834.33,1788.77,1786,1836.56
8/3/2018 16:00:00,1823.29,1837.74,1821.5,1841
8/6/2018 16:00:00,1847.75,1825.81,1818.92,1847.77
8/7/2018 16:00:00,1862.48,1854.53,1846.27,1869.72
8/8/2018 16:00:00,1886.52,1861,1854.5,1891.51
8/9/2018 16:00:00,1898.52,1882,1877.48,1914.57
8/10/2018 16:00:00,1886.3,1888.51,1878.21,1899.5
8/13/2018 16:00:00,1896.2,1898.5,1893.67,1925
8/14/2018 16:00:00,1919.65,1919.39,1900,1921.01
8/15/2018 16:00:00,1882.62,1909.55,1869.79,1916.21
8/16/2018 16:00:00,1886.52,1903.94,1883.55,1905
8/17/2018 16:00:00,1882.22,1885.8,1855.55,1888
8/20/2018 16:00:00,1876.71,1890.57,1866.06,1891.75
8/21/2018 16:00:00,1883.42,1880,1874.41,1897.75
8/22/2018 16:00:00,1904.9,1876.64,1876.64,1905.8
8/23/2018 16:00:00,1902.9,1907.17,1900.76,1919.5
8/24/2018 16:00:00,1905.39,1910.51,1902.54,1916.01
8/27/2018 16:00:00,1927.68,1915,1909.28,1927.7
8/28/2018 16:00:00,1932.82,1937.73,1928.82,1941.78
8/29/2018 16:00:00,1998.1,1953.45,1948.94,1998.69
8/30/2018 16:00:00,2002.38,1997.42,1986.9,2025.57
8/31/2018 16:00:00,2012.71,2007,2004.74,2022.38
9/4/2018 16:00:00,2039.51,2026.5,2013,2050.5
9/5/2018 16:00:00,1994.82,2038.11,1989.89,2040.38
9/6/2018 16:00:00,1958.31,2006.51,1935.21,2007.5
9/7/2018 16:00:00,1952.07,1938.71,1937.35,1975.2
9/10/2018 16:00:00,1939.01,1971,1931.52,1973.04
9/11/2018 16:00:00,1987.15,1928.27,1917,1988.88
9/12/2018 16:00:00,1990,1994,1962.44,2000
9/13/2018 16:00:00,1989.87,2000,1982.03,2008.76
9/14/2018 16:00:00,1970.19,1992.93,1959.22,1993.65
9/17/2018 16:00:00,1908.03,1954.73,1887.41,1956.82
9/18/2018 16:00:00,1941.05,1918.65,1915.44,1958.2
9/19/2018 16:00:00,1926.42,1940.5,1904.9,1940.83
9/20/2018 16:00:00,1944.3,1938.58,1932.25,1955
9/21/2018 16:00:00,1915.01,1954.22,1910.5,1957.31
9/24/2018 16:00:00,1934.36,1903.79,1865,1936.88
9/25/2018 16:00:00,1974.55,1942.9,1938.85,1975.91
9/26/2018 16:00:00,1974.85,1968.5,1961.52,1995.25
9/27/2018 16:00:00,2012.98,1993.24,1988.58,2016.16
9/28/2018 16:00:00,2003,2004.41,1996.46,2026.52
10/1/2018 16:00:00,2004.36,2021.99,2003.6,2033.19
10/2/2018 16:00:00,1971.31,1999.99,1965.77,2013.39
10/3/2018 16:00:00,1952.76,1981.7,1949.81,1989.7
10/4/2018 16:00:00,1909.42,1949,1896.57,1956
10/5/2018 16:00:00,1889.65,1917.99,1862.83,1929.08
10/8/2018 16:00:00,1864.42,1874,1830.66,1902
10/9/2018 16:00:00,1870.32,1859.99,1852.32,1896.68
10/10/2018 16:00:00,1755.25,1857.89,1754.41,1858.56
10/11/2018 16:00:00,1719.36,1724,1685.1,1755.4
10/12/2018 16:00:00,1788.61,1808,1742.53,1808.95
10/15/2018 16:00:00,1760.95,1795,1734.23,1795.05
10/16/2018 16:00:00,1819.96,1783.5,1761.55,1823.88
10/17/2018 16:00:00,1831.73,1842.79,1807,1845
10/18/2018 16:00:00,1770.72,1821.49,1767.87,1830.15
10/19/2018 16:00:00,1764.03,1785.16,1753,1809.1
10/22/2018 16:00:00,1789.3,1784,1756,1809.5
10/23/2018 16:00:00,1768.7,1742.24,1714,1776.34
10/24/2018 16:00:00,1664.2,1773.7,1656.56,1777.71
10/25/2018 16:00:00,1782.17,1703.34,1692.01,1794.81
10/26/2018 16:00:00,1642.81,1649.59,1603,1698.46
10/29/2018 16:00:00,1538.88,1660,1495,1665.74
10/30/2018 16:00:00,1530.42,1486.16,1476.36,1540.99
10/31/2018 16:00:00,1598.01,1569.99,1565.09,1623.91
11/1/2018 16:00:00,1665.53,1623.53,1598.44,1670.45
11/2/2018 16:00:00,1665.53,1678.59,1651.83,1697.44
11/5/2018 16:00:00,1627.8,1657.57,1596.36,1658.09
11/6/2018 16:00:00,1642.81,1618.35,1614.55,1665
11/7/2018 16:00:00,1755.49,1673,1664.08,1759.23
11/8/2018 16:00:00,1754.91,1755,1725.11,1784
11/9/2018 16:00:00,1712.43,1732.5,1701.87,1743.92
11/12/2018 16:00:00,1636.85,1698.24,1630.01,1708.55
11/13/2018 16:00:00,1631.17,1649.29,1613.75,1677.06
11/14/2018 16:00:00,1599.01,1656.32,1597.07,1673
